"date","price","our_pe","web_eps_anchor","web_anchor_date","corrected_pe_web_anchored","percent_error_vs_web"
"2024-02-05","69.3320007324219","54.8712746807534","1.19","2024-01-31","58.2621854894302","-5.82008858780617"
"2024-02-06","68.2229995727539","53.9935803028244","1.19","2024-01-31","57.33025174181","-5.82008858780616"
"2024-02-07","70.0989990234375","55.4782984715194","1.19","2024-01-31","58.9067218684349","-5.82008858780617"
"2024-02-08","69.640998840332","55.1158243818417","1.19","2024-01-31","58.5218477649849","-5.82008858780617"
"2024-02-09","72.1330032348633","57.0880660046632","1.19","2024-01-31","60.6159691049271","-5.82008858780617"
"2024-08-05","100.449996948242","57.2572758284414","2.13","2024-07-31","47.1596229803954","21.4116488001689"
"2024-08-06","104.25","59.4233069831813","2.13","2024-07-31","48.943661971831","21.4116488001689"
"2024-08-07","98.9100036621094","56.379467734495","2.13","2024-07-31","46.43662143761","21.4116488001689"
"2024-08-08","104.970001220703","59.8337132524005","2.13","2024-07-31","49.2816907139451","21.4116488001689"
"2024-08-09","104.75","59.7083108536042","2.13","2024-07-31","49.1784037558685","21.4116488001689"
